lr,batch_size,optimizer,optimizer__weight_decay,module__hidden_layers,module__dropout,module__use_batchnorm,valid_loss,test_loss,test_loss_a,test_loss_w,status,error
0.0005,512,<class 'torch.optim.adamw.AdamW'>,1e-05,"[256, 128, 64, 32]",0.4,True,0.43328896752962043,0.5835746695708078,0.9232356157476285,0.4763441187595623,success,
0.001,512,<class 'torch.optim.adamw.AdamW'>,0.0,"[128, 128, 64, 64, 32]",0.0,True,0.23045087606525738,0.7304522556570184,0.9208359660665785,0.6809896963005969,success,
0.0005,512,<class 'torch.optim.adam.Adam'>,1e-05,"[256, 128, 64, 32]",0.3,False,0.3499700034812299,0.5789204163409546,0.8153402627143129,0.5118087667755798,success,
0.0005,512,<class 'torch.optim.adam.Adam'>,1e-05,"[256, 128, 64]",0.3,False,0.33691034422322313,0.6060478752641529,0.8410589595212594,0.5401588754043521,success,
0.0001,256,<class 'torch.optim.radam.RAdam'>,1e-05,"[256, 128, 64]",0.0,True,0.2711728996426286,0.62654960958267,0.8470042153761813,0.5660610224725251,success,
0.0001,256,<class 'torch.optim.adam.Adam'>,0.0001,"[256, 128, 64]",0.0,False,0.34962751734409264,0.6195705565286704,0.9314113041572005,0.5257967053072405,success,
0.0005,256,<class 'torch.optim.adamw.AdamW'>,0.0,"[256, 128, 64, 32]",0.4,True,0.37031181211814457,0.5484365813311654,0.8831421860934099,0.44088197510266786,success,
0.0001,512,<class 'torch.optim.adamw.AdamW'>,0.0,"[256, 128, 64]",0.0,True,0.27665614944547434,0.6105714043842917,0.8339982247964621,0.5487472932328945,success,
0.0005,256,<class 'torch.optim.adamw.AdamW'>,1e-05,"[128, 64, 32]",0.0,True,0.24610318225346878,0.5944017056008098,0.8654388319201485,0.5152158094012486,success,
0.0005,128,<class 'torch.optim.radam.RAdam'>,0.0001,"[256, 256, 128, 64, 32]",0.4,True,0.37260463873206673,0.541754343647984,0.8701786922674943,0.43648789471296856,success,
0.001,512,<class 'torch.optim.radam.RAdam'>,0.0001,"[256, 256, 128, 64, 32]",0.2,True,0.32021737184101695,0.5524480254571378,0.8931986408564702,0.44250059327887287,success,
0.0005,512,<class 'torch.optim.radam.RAdam'>,0.0001,"[256, 256, 128, 64, 32]",0.3,True,0.44150573734029114,0.5790084251732853,0.9877893089916077,0.43934155902698735,success,
0.0001,512,<class 'torch.optim.adamw.AdamW'>,0.0,"[256, 128, 64, 32]",0.2,True,0.4765515997578475,0.6090303149295416,0.9142068445484013,0.5173857401903117,success,
0.001,128,<class 'torch.optim.adamw.AdamW'>,1e-05,"[128, 64, 32]",0.3,True,0.29673919548246025,0.5302871783582456,0.8195055569430033,0.4410355023876832,success,
0.0001,512,<class 'torch.optim.radam.RAdam'>,0.0,"[256, 256, 128, 64, 32]",0.4,True,0.6795584260776996,0.6668477638613737,1.1794467304453211,0.4842710004609339,success,
0.0001,128,<class 'torch.optim.adam.Adam'>,0.0,"[256, 128, 64]",0.4,True,0.3899730029241496,0.5531387094031063,0.8934634607790687,0.44343532751985304,success,
0.0005,128,<class 'torch.optim.radam.RAdam'>,1e-05,"[128, 128, 64, 64, 32]",0.4,True,0.4919264674992827,0.576222623125823,1.0126847019912746,0.42193424193434353,success,
0.001,512,<class 'torch.optim.adamw.AdamW'>,0.0001,"[64, 32, 32]",0.0,True,0.2796494463800875,0.6822339214169453,0.9017207128313319,0.6230886231629805,success,
0.001,128,<class 'torch.optim.radam.RAdam'>,0.0,"[128, 128, 64, 32]",0.3,True,0.2845364023746094,0.5309011083298348,0.7909494078408292,0.4533443050858611,success,
0.001,512,<class 'torch.optim.adam.Adam'>,1e-05,"[128, 64, 32]",0.4,True,0.3288003887990478,0.5403592774157151,0.8375135342500554,0.4484018906052117,success,
0.0005,128,<class 'torch.optim.radam.RAdam'>,0.0,"[64, 32, 32]",0.3,True,0.4136145954254617,0.5598292953741418,0.9009872598832067,0.4502629725903001,success,
0.001,512,<class 'torch.optim.radam.RAdam'>,0.0001,"[128, 128, 64, 64, 32]",0.4,False,0.3504417115986278,0.6069168938647466,0.8287571135265658,0.5455469462087443,success,
0.001,256,<class 'torch.optim.adamw.AdamW'>,0.0,"[256, 128, 64]",0.3,True,0.27173611410456194,0.5384526982586662,0.8282491903658462,0.44941924821600987,success,
0.001,256,<class 'torch.optim.adamw.AdamW'>,0.0,"[256, 128, 64]",0.0,False,0.28575648000079296,0.5770852346458862,0.8401829439188149,0.5002224181288373,success,
0.0001,128,<class 'torch.optim.radam.RAdam'>,0.0,"[256, 128, 64]",0.4,True,0.3723340541014266,0.5565018249427439,0.8929756535359431,0.44876383996654345,success,
0.0001,512,<class 'torch.optim.adam.Adam'>,0.0001,"[128, 128, 64, 32]",0.3,False,0.4465974136071433,0.6263328852906362,0.8618222262167557,0.560776395594395,success,
0.0005,512,<class 'torch.optim.adamw.AdamW'>,0.0001,"[256, 256, 128, 64, 32]",0.0,True,0.22301874612211778,0.6837406082688264,0.9235558566715691,0.6179838085486938,success,
0.0005,512,<class 'torch.optim.radam.RAdam'>,0.0,"[128, 64, 32]",0.4,False,0.38564633418956945,0.5850688419539377,0.8496484120983604,0.5079459082727787,success,
0.0005,256,<class 'torch.optim.adam.Adam'>,0.0,"[128, 128, 64, 32]",0.0,True,0.22973656338665555,0.6090874761908912,0.8926587996706512,0.5257558406523967,success,
0.0001,512,<class 'torch.optim.adamw.AdamW'>,0.0,"[256, 256, 128, 64, 32]",0.3,False,0.48184935283492925,0.625423653932976,0.8884683955766551,0.550202085779881,success,
0.0001,128,<class 'torch.optim.radam.RAdam'>,0.0001,"[128, 128, 64, 32]",0.2,False,0.3575826701461484,0.5892128925757636,0.87314147267938,0.5049436246021293,success,
0.0005,512,<class 'torch.optim.radam.RAdam'>,0.0001,"[256, 128, 64, 32]",0.0,False,0.32835968696068235,0.5891600272165498,0.8559080096192813,0.5113795295348507,success,
0.0001,128,<class 'torch.optim.adamw.AdamW'>,0.0,"[64, 32, 32]",0.2,True,0.4866913029008898,0.599450619974873,0.9896410586180989,0.4707949017308906,success,
0.0005,256,<class 'torch.optim.adam.Adam'>,0.0,"[128, 128, 64, 32]",0.3,False,0.3279631990076458,0.5940442313638723,0.8044518285333448,0.5362312601739319,success,
0.0001,512,<class 'torch.optim.radam.RAdam'>,0.0001,"[256, 128, 64, 32]",0.0,False,0.3972348510206819,0.6157715768242423,0.8629879387358135,0.5458866821147461,success,
0.0005,256,<class 'torch.optim.adam.Adam'>,0.0001,"[128, 128, 64, 64, 32]",0.3,False,0.3262159716722177,0.6111562703077865,0.8563620675676072,0.5418505077019597,success,
0.0005,256,<class 'torch.optim.radam.RAdam'>,1e-05,"[128, 128, 64, 32]",0.2,True,0.34449152334746774,0.5627625572844663,0.849347055862354,0.47626996792751075,success,
0.001,128,<class 'torch.optim.adam.Adam'>,1e-05,"[128, 128, 64, 32]",0.4,False,0.33201495998739,0.5767575786286429,0.8007221849367641,0.5139452160463954,success,
0.0005,128,<class 'torch.optim.adam.Adam'>,0.0,"[256, 128, 64, 32]",0.0,False,0.2849486405740283,0.5468997309525707,0.8343107442291738,0.4592860272516689,success,
0.0005,512,<class 'torch.optim.radam.RAdam'>,1e-05,"[128, 128, 64, 32]",0.0,True,0.23613202990080875,0.6310028592564932,0.8811210379759906,0.5605141902941116,success,
0.0005,256,<class 'torch.optim.adam.Adam'>,0.0,"[256, 128, 64]",0.2,False,0.3116831730287071,0.5530855638610126,0.8197512459866888,0.4739271347465914,success,
0.0001,512,<class 'torch.optim.adamw.AdamW'>,1e-05,"[128, 128, 64, 64, 32]",0.2,False,0.43297175201570703,0.6520323334853376,0.8675539811329572,0.5936479613600463,success,
0.0001,512,<class 'torch.optim.adamw.AdamW'>,1e-05,"[256, 128, 64]",0.2,False,0.47367315964990325,0.6211129533540435,0.8890739711236428,0.5439821444833065,success,
0.001,512,<class 'torch.optim.radam.RAdam'>,1e-05,"[256, 128, 64]",0.3,True,0.2967416717284314,0.5188090637005325,0.8223916712301502,0.4227815990001791,success,
0.0001,256,<class 'torch.optim.adam.Adam'>,1e-05,"[128, 128, 64, 32]",0.2,True,0.38123453969481214,0.5785499726393609,0.9039856584357276,0.4770520802569382,success,
0.001,128,<class 'torch.optim.radam.RAdam'>,1e-05,"[256, 256, 128, 64, 32]",0.0,True,0.21337168865428716,0.6080590800958776,0.8651800442604711,0.5344306821290177,success,
0.001,256,<class 'torch.optim.adam.Adam'>,0.0001,"[256, 128, 64]",0.0,True,0.23277700272621807,0.6198820758812414,0.852851857078177,0.5550329125213488,success,
0.0005,512,<class 'torch.optim.radam.RAdam'>,0.0001,"[64, 32, 32]",0.3,True,0.5740361663721327,0.6151684401576384,1.0531478662815927,0.46494019140721565,success,
0.001,256,<class 'torch.optim.adam.Adam'>,1e-05,"[256, 128, 64]",0.4,True,0.28751071438846043,0.5129402333231938,0.8064153964150076,0.420860053064841,success,
0.0005,512,<class 'torch.optim.adam.Adam'>,1e-05,"[256, 256, 128, 64, 32]",0.3,True,0.4245109125705929,0.581834822806043,0.9716619940521563,0.45171687472094335,success,
0.001,128,<class 'torch.optim.adamw.AdamW'>,0.0001,"[128, 128, 64, 64, 32]",0.2,False,0.29114030468671803,0.569860306297082,0.8322332484358591,0.49299910800923524,success,
0.001,256,<class 'torch.optim.adamw.AdamW'>,0.0,"[256, 128, 64, 32]",0.0,True,0.21894687110694094,0.6532977433832746,0.9045641793080026,0.5829852526721878,success,
0.0001,512,<class 'torch.optim.adamw.AdamW'>,1e-05,"[256, 128, 64]",0.2,True,0.367000753622528,0.5663450511202667,0.9013614817224317,0.45995038029553087,success,
0.001,512,<class 'torch.optim.adam.Adam'>,1e-05,"[128, 128, 64, 64, 32]",0.2,False,0.3134935064170451,0.6107409411731809,0.8399025379047881,0.5469752053236245,success,
0.0005,512,<class 'torch.optim.adamw.AdamW'>,0.0,"[256, 128, 64, 32]",0.4,False,0.3774120668206573,0.5601754372474684,0.8381820944250961,0.476934791551077,success,
0.001,512,<class 'torch.optim.adamw.AdamW'>,0.0001,"[256, 128, 64, 32]",0.3,False,0.3267974338306994,0.5748446003407798,0.8168670733522054,0.5056164402768754,success,
0.001,256,<class 'torch.optim.adam.Adam'>,1e-05,"[128, 128, 64, 32]",0.4,False,0.34842913496725486,0.5828794630545471,0.8264904517908802,0.5133263271256332,success,
0.0005,128,<class 'torch.optim.radam.RAdam'>,0.0001,"[64, 32, 32]",0.3,False,0.3645214589173031,0.5706122159906843,0.7985501351577843,0.506255148174615,success,
